cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason
4,2026-04-02T05:40:37.086645+00:00,MATICUSDT,short,5000.0,0.3794,0.3794,-0.0,0.0,3,0.049999999999999996,normal,normal
7,2026-04-02T05:41:18.770815+00:00,DOTUSDT,short,5000.0,1.216,1.217,-4.1118,0.0,6,0.049999999999999996,crisis,normal
8,2026-04-02T05:41:30.353586+00:00,ETHUSDT,long,20000.0,2046.46,2046.56,0.9773,0.0,7,0.19999999999999998,normal,normal
10,2026-04-02T05:41:59.377530+00:00,MATICUSDT,short,5000.0,0.3794,0.3794,-0.0,0.0,5,0.049999999999999996,crisis,normal
11,2026-04-02T05:42:13.244631+00:00,DOTUSDT,short,5000.0,1.217,1.218,-4.1085,0.0,4,0.049999999999999996,crisis,normal
14,2026-04-02T05:42:48.325350+00:00,ETHUSDT,long,20000.0,2046.56,2048.91,22.9654,0.0,5,0.19999999999999998,crisis,normal
14,2026-04-02T05:42:48.325396+00:00,MATICUSDT,short,5000.0,0.3794,0.3794,-0.0,0.0,3,0.049999999999999996,crisis,normal
15,2026-04-02T05:43:01.978000+00:00,DOTUSDT,short,5000.0,1.218,1.22,-8.2102,0.0,4,0.049999999999999996,crisis,normal
18,2026-04-02T05:43:39.229502+00:00,ETHUSDT,long,16666.6667,2050.0,2050.0,0.0,0.0,3,0.16666666666666666,crisis,normal
24,2026-04-02T05:44:53.694804+00:00,ETHUSDT,long,16666.6667,2050.0,2049.37,-5.122,0.0,5,0.16666666666666666,crisis,normal
30,2026-04-02T05:46:11.101878+00:00,ETHUSDT,long,16930.6203,2049.18,2048.55,-5.2052,0.0,5,0.1693062025006129,crisis,normal
35,2026-04-02T05:47:14.496025+00:00,ETHUSDT,long,16908.0821,2048.55,2046.49,-17.0026,0.0,4,0.1690808209761367,normal,normal
42,2026-04-02T05:48:42.320515+00:00,ETHUSDT,long,16896.5348,2046.49,2047.33,6.9353,0.0,7,0.1689653479925395,normal,normal
46,2026-04-02T05:49:33.059910+00:00,ETHUSDT,long,16871.9635,2047.33,2048.06,6.0159,0.0,3,0.16871963488246552,normal,normal
54,2026-04-02T05:51:18.662575+00:00,ETHUSDT,long,16921.7604,2048.06,2046.73,-10.9889,0.0,7,0.16921760391198043,normal,normal
59,2026-04-02T05:52:23.710793+00:00,ETHUSDT,long,17025.9879,2046.88,2046.88,0.0,0.0,4,0.1702598793069885,normal,normal
64,2026-04-02T05:53:26.259529+00:00,ETHUSDT,long,17085.3173,2046.88,2047.59,5.9264,0.0,5,0.17085317267515304,normal,normal
69,2026-04-02T05:54:29.003636+00:00,ETHUSDT,long,17094.5782,2047.55,2047.55,0.0,0.0,4,0.17094578166788232,normal,normal
76,2026-04-02T05:56:05.768882+00:00,ETHUSDT,long,17089.839,2047.55,2048.59,8.6803,0.0,7,0.17089838999951357,crisis,normal
81,2026-04-02T05:57:08.413594+00:00,ETHUSDT,long,17015.4131,2048.59,2050.04,12.0436,0.0,4,0.17015413130426296,crisis,normal
84,2026-04-02T05:57:43.322090+00:00,ETHUSDT,long,16919.6494,2050.04,2050.04,0.0,0.0,3,0.16919649414875387,crisis,normal
89,2026-04-02T05:58:45.938104+00:00,ETHUSDT,long,16798.6815,2050.01,2050.01,0.0,0.0,4,0.16798681491685524,normal,normal
93,2026-04-02T05:59:36.977385+00:00,ETHUSDT,long,8381.004,2050.01,2050.37,1.4718,0.0,4,0.083810040437913,normal,normal
100,2026-04-02T06:01:09.622715+00:00,ETHUSDT,long,16748.9022,2050.37,2049.92,-3.6759,0.0,7,0.16748902156214537,crisis,normal
105,2026-04-02T06:02:12.408370+00:00,ETHUSDT,long,16771.7001,2049.92,2051.03,9.0816,0.0,4,0.16771700064004727,crisis,normal
111,2026-04-02T06:03:30.612431+00:00,ETHUSDT,long,16746.2466,2051.03,2049.86,-9.5528,0.0,6,0.1674624661580113,normal,normal
116,2026-04-02T06:04:33.311629+00:00,ETHUSDT,long,16711.7827,2049.86,2049.14,-5.8699,0.0,5,0.16711782655773205,normal,normal
124,2026-04-02T06:06:11.996732+00:00,ETHUSDT,long,16710.9471,2049.14,2048.61,-4.3222,0.0,7,0.16710947109471097,normal,normal
132,2026-04-02T06:07:54.301458+00:00,ETHUSDT,long,16813.6823,2048.43,2050.12,13.8717,0.0,7,0.16813682250318532,crisis,normal
140,2026-04-02T06:09:34.082376+00:00,ETHUSDT,long,16773.94,2050.12,2047.16,-24.2185,0.0,7,0.16773939959711098,normal,normal
147,2026-04-02T06:11:10.683454+00:00,ETHUSDT,long,16702.7772,2047.16,2046.35,-6.6088,0.0,6,0.1670277723064802,normal,normal
152,2026-04-02T06:12:13.548775+00:00,ETHUSDT,long,16656.8178,2046.35,2047.44,8.8723,0.0,5,0.16656817846062935,crisis,normal
160,2026-04-02T06:13:55.903052+00:00,ETHUSDT,long,16669.9444,2047.44,2046.5,-7.6533,0.0,7,0.16669944441712964,normal,normal
167,2026-04-02T06:15:24.461002+00:00,ETHUSDT,long,16682.1972,2046.5,2046.79,2.364,0.0,6,0.16682197155468367,normal,normal
173,2026-04-02T06:16:39.647829+00:00,ETHUSDT,long,8352.1223,2046.79,2050.19,13.874,0.0,6,0.08352122340946966,crisis,normal
177,2026-04-02T06:17:30.707877+00:00,ETHUSDT,long,16796.2067,2050.19,2050.14,-0.4096,0.0,4,0.16796206677420933,crisis,normal
181,2026-04-02T06:18:23.543914+00:00,ETHUSDT,long,16829.7695,2050.14,2049.94,-1.6418,0.0,4,0.16829769535646133,crisis,normal
185,2026-04-02T06:19:12.535003+00:00,ETHUSDT,long,16850.3012,2049.94,2053.0,25.1529,0.0,4,0.16850301160570003,crisis,normal
192,2026-04-02T06:20:43.957248+00:00,ETHUSDT,long,16891.0319,2053.0,2052.64,-2.9619,0.0,7,0.16891031916976698,crisis,normal
198,2026-04-02T06:21:58.421461+00:00,ETHUSDT,long,8443.1328,2052.64,2051.63,-4.1544,0.0,5,0.08443132836990597,crisis,normal
