cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe,win_capture,loss_capture,exit_score
3,2026-06-02T05:42:18.668906+00:00,ADAUSDT,long,20000.0,0.295,0.2818,-894.9153,0.0,1,0.19999999999999998,normal,normal,-894.9153,0.0,,1.0,-1.0
6,2026-06-02T05:42:54.035726+00:00,ADAUSDT,long,21373.8716,0.2858,0.2735,-919.8692,0.0,2,0.21373871640137773,crisis,normal,-919.8692,0.0,,1.0,-1.0
11,2026-06-02T05:44:11.081990+00:00,ADAUSDT,long,17942.3564,0.2717,0.2623,-620.7514,0.0,1,0.17942356447034338,crisis,normal,-620.7514,0.0,,1.0,-1.0
13,2026-06-02T05:44:33.807549+00:00,ARBUSDT,short,9067.2508,0.0946,0.1008,-594.2596,0.0,3,0.09067250811793275,crisis,normal,-594.2596,239.6208,,1.0,-1.0
15,2026-06-02T05:44:56.787288+00:00,NEARUSDT,long,22500.0,1.127,1.094,-658.8287,0.0,1,0.22499999999999998,crisis,normal,-658.8287,0.0,,1.0,-1.0
22,2026-06-02T05:46:38.420808+00:00,NEARUSDT,long,20051.1432,1.172,1.227,940.9666,0.0,6,0.2005114317754976,normal,normal,-376.3866,3216.395,0.2926,,0.2926
28,2026-06-02T05:47:50.368895+00:00,ARBUSDT,short,6226.8384,0.0985,0.101,-158.0416,0.0,2,0.0622683839196365,high_vol,normal,-158.0416,0.0,,1.0,-1.0
31,2026-06-02T05:48:37.892001+00:00,ADAUSDT,short,18773.1616,0.2621,0.2702,-580.1702,0.0,5,0.1877316160803635,high_vol,normal,-580.1702,0.0,,1.0,-1.0
39,2026-06-02T05:50:11.713343+00:00,ARBUSDT,short,7052.3736,0.0963,0.0975,-87.88,0.0,2,0.07052373634589026,normal,normal,-87.88,278.2868,,1.0,-1.0
40,2026-06-02T05:50:36.292495+00:00,NEARUSDT,long,7179.0505,1.281,1.292,61.6468,0.0,3,0.0717905054616439,normal,normal,-39.2298,168.1276,0.3667,,0.3667
41,2026-06-02T05:50:47.692987+00:00,ADAUSDT,short,25000.0,0.2904,0.2705,1713.1543,0.0,9,0.25,normal,normal,0.0,3426.3085,0.5,,0.5
42,2026-06-02T05:50:59.051933+00:00,ETHUSDT,long,10768.5758,2084.87,2060.43,-126.2352,0.0,5,0.10768575819246584,normal,normal,-160.015,434.6437,,0.7889,-0.7889
47,2026-06-02T05:51:59.878185+00:00,NEARUSDT,short,12500.0,1.18,1.189,-95.339,0.0,4,0.125,normal,normal,-95.339,190.678,,1.0,-1.0
48,2026-06-02T05:52:12.375622+00:00,ARBUSDT,short,9880.3354,0.0975,0.0944,314.144,0.0,9,0.09880335410237001,normal,normal,-131.7378,922.1646,0.3407,,0.3407
48,2026-06-02T05:52:12.375645+00:00,ADAUSDT,short,8333.3333,0.2418,0.2484,-227.4607,0.0,1,0.08333333333333333,normal,normal,-227.4607,0.0,,1.0,-1.0
50,2026-06-02T05:52:51.938211+00:00,NEARUSDT,short,8333.3333,1.189,1.209,-140.1738,0.0,3,0.08333333333333333,high_vol,normal,-140.1738,189.2347,,1.0,-1.0
59,2026-06-02T05:54:48.073840+00:00,ETHUSDT,long,14324.9143,2057.17,2191.65,936.4391,0.0,10,0.14324914250077955,normal,normal,-23.2578,1586.4036,0.5903,,0.5903
62,2026-06-02T05:55:22.679217+00:00,ETHUSDT,long,6010.6886,2386.68,2048.72,-851.1289,0.0,1,0.060106885685720784,crisis,normal,-851.1289,0.0,,1.0,-1.0
