cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe
4,2026-04-14T10:48:12.252257+00:00,ADAUSDT,long,15000.0,1.051,1.027,-342.5309,0.0,2,0.15,normal,normal,-342.5309,642.2455
4,2026-04-14T10:48:12.252278+00:00,NEARUSDT,long,15000.0,11.12,10.863,-346.6727,0.0,2,0.15,normal,normal,-346.6727,122.7518
6,2026-04-14T10:48:15.588053+00:00,ETHUSDT,short,17195.6376,2680.67,2994.99,-2016.2619,0.0,2,0.1719563759186805,crisis,normal,-2016.2619,0.0
12,2026-04-14T10:48:40.322343+00:00,NEARUSDT,long,6402.1812,10.863,11.787,544.5655,0.0,8,0.06402181204065975,crisis,normal,0.0,1555.9015
13,2026-04-14T10:48:42.174418+00:00,ADAUSDT,long,6402.1812,1.027,1.079,324.1611,0.0,9,0.06402181204065975,crisis,normal,0.0,1072.2251
33,2026-04-14T10:50:15.611561+00:00,ADAUSDT,long,12500.0,0.856,0.903,686.3318,0.0,4,0.125,crisis,normal,0.0,1562.5
34,2026-04-14T10:50:23.450777+00:00,ADAUSDT,long,25000.0,0.903,0.844,-1633.4441,0.0,1,0.25,crisis,normal,-1633.4441,0.0
36,2026-04-14T10:50:39.689643+00:00,NEARUSDT,long,12500.0,8.508,10.094,2330.1598,0.0,7,0.125,normal,normal,0.0,4848.378
36,2026-04-14T10:50:39.689687+00:00,ADAUSDT,long,25000.0,0.864,0.823,-1186.3426,0.0,1,0.25,normal,normal,-1186.3426,0.0
43,2026-04-14T10:51:12.479384+00:00,ETHUSDT,long,7372.6628,2568.8,2515.65,-152.5448,0.0,1,0.07372662816466988,crisis,normal,-152.5448,0.0
52,2026-04-14T10:52:34.344684+00:00,ADAUSDT,long,17627.3372,0.789,0.975,4155.4939,0.0,10,0.17627337183533012,normal,normal,-67.0241,4155.4939
52,2026-04-14T10:52:34.344706+00:00,ETHUSDT,short,6218.5012,2938.92,2969.64,-65.0009,0.0,4,0.062185012051712805,normal,normal,-65.0009,164.068
53,2026-04-14T10:52:37.227719+00:00,ETHUSDT,short,7115.3967,2969.64,3036.0,-159.0017,0.0,1,0.07115396669522157,normal,normal,-159.0017,0.0
56,2026-04-14T10:52:46.918512+00:00,ADAUSDT,short,16666.6667,1.131,1.152,-309.4607,0.0,2,0.16666666666666669,high_vol,normal,-309.4607,515.7678
57,2026-04-14T10:52:49.717053+00:00,ETHUSDT,short,8333.3333,3110.76,3295.65,-495.297,0.0,3,0.08333333333333334,high_vol,normal,-495.297,23.0919
62,2026-04-14T10:53:12.308815+00:00,NEARUSDT,long,14326.905,11.07,14.74,4749.7508,0.0,10,0.14326904995716763,high_vol,normal,0.0,4749.7508
62,2026-04-14T10:53:12.308852+00:00,ETHUSDT,short,12500.0,3400.51,3455.21,-201.0728,0.0,3,0.125,high_vol,normal,-201.0728,437.4344
64,2026-04-14T10:53:19.892392+00:00,ADAUSDT,short,12500.0,1.191,1.186,52.4769,0.0,5,0.125,high_vol,normal,0.0,524.7691
64,2026-04-14T10:53:19.892406+00:00,ETHUSDT,short,12500.0,3443.77,3521.91,-283.6281,0.0,1,0.125,high_vol,normal,-283.6281,0.0
75,2026-04-14T10:53:53.898077+00:00,ETHUSDT,short,8323.6054,3519.5,3021.98,1176.6331,0.0,10,0.0832360540219239,normal,normal,0.0,1276.5305
75,2026-04-14T10:53:53.898097+00:00,ADAUSDT,short,16676.3946,1.212,0.933,3838.873,0.0,10,0.1667639459780761,normal,normal,0.0,4017.7452
78,2026-04-14T10:54:01.279513+00:00,ADAUSDT,long,25000.0,0.933,0.914,-509.1104,0.0,3,0.25,normal,normal,-509.1104,616.2915
81,2026-04-14T10:54:08.855219+00:00,ADAUSDT,long,25000.0,0.937,0.937,0.0,0.0,2,0.25,normal,normal,0.0,400.2134
82,2026-04-14T10:54:11.919530+00:00,ADAUSDT,long,25000.0,0.937,0.91,-720.3842,0.0,1,0.25,normal,normal,-720.3842,0.0
84,2026-04-14T10:54:16.883171+00:00,ADAUSDT,long,25000.0,0.906,0.886,-551.8764,0.0,1,0.25,normal,normal,-551.8764,0.0
87,2026-04-14T10:54:24.918083+00:00,ADAUSDT,long,25000.0,0.886,0.8259,-1695.8239,0.0,2,0.25,normal,normal,-1695.8239,321.6704
88,2026-04-14T10:54:30.074094+00:00,ETHUSDT,short,5357.7664,2809.67,2888.96,-151.1983,0.0,1,0.053577664202150016,normal,normal,-151.1983,0.0
89,2026-04-14T10:54:32.433070+00:00,NEARUSDT,long,11263.2933,12.685,12.402,-251.282,0.0,2,0.11263293287620017,normal,normal,-251.282,172.2569
90,2026-04-14T10:54:35.633408+00:00,ADAUSDT,long,8378.9403,0.8259,0.8048,-214.0642,0.0,3,0.0837894029216498,normal,normal,-214.0642,175.5124
