cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason
7,2026-04-09T00:54:39.989472+00:00,ETHUSDT,long,30000.0,2182.0,2180.25,-24.0605,0.0,6,0.3,normal,normal
18,2026-04-09T00:57:16.842843+00:00,ETHUSDT,long,30000.0,2180.25,2183.84,49.398,0.0,10,0.3,normal,normal
28,2026-04-09T00:59:46.295266+00:00,ETHUSDT,long,9375.0,2183.84,2183.72,-0.5151,0.0,10,0.09375,crisis,normal
38,2026-04-09T01:02:12.264159+00:00,ETHUSDT,long,9375.0,2183.72,2184.59,3.735,0.0,10,0.09375,normal,normal
44,2026-04-09T01:03:43.289666+00:00,ETHUSDT,long,25000.0,2184.59,2183.61,-11.2149,0.0,6,0.25,normal,normal
50,2026-04-09T01:05:11.452462+00:00,ETHUSDT,long,25000.0,2183.61,2183.34,-3.0912,0.0,6,0.25,normal,normal
56,2026-04-09T01:06:43.707433+00:00,ETHUSDT,long,25000.0,2183.34,2180.37,-34.0075,0.0,6,0.25,high_vol,normal
77,2026-04-09T01:12:11.482539+00:00,ETHUSDT,long,25000.0,2168.98,2168.88,-1.1526,0.0,8,0.25,normal,normal
87,2026-04-09T01:14:39.529368+00:00,ETHUSDT,long,25000.0,2168.88,2171.43,29.3931,0.0,10,0.25,high_vol,normal
98,2026-04-09T01:17:14.218415+00:00,ETHUSDT,long,25000.0,2171.12,2167.75,-38.8049,0.0,6,0.25,normal,normal
108,2026-04-09T01:19:38.724063+00:00,ETHUSDT,long,25000.0,2167.75,2169.74,22.9501,0.0,10,0.25,normal,normal
118,2026-04-09T01:22:01.556452+00:00,ETHUSDT,long,25000.0,2169.74,2171.54,20.7398,0.0,10,0.25,normal,normal
124,2026-04-09T01:23:43.977624+00:00,ETHUSDT,long,25000.0,2171.54,2169.39,-24.752,0.0,6,0.25,normal,normal
130,2026-04-09T01:25:12.402056+00:00,ETHUSDT,long,25000.0,2169.39,2169.18,-2.42,0.0,6,0.25,normal,normal
140,2026-04-09T01:27:33.744292+00:00,ETHUSDT,long,25000.0,2169.18,2170.68,17.2876,0.0,10,0.25,normal,normal
146,2026-04-09T01:28:57.437218+00:00,ETHUSDT,long,25000.0,2170.68,2170.18,-5.7586,0.0,6,0.25,normal,normal
152,2026-04-09T01:30:21.773945+00:00,ETHUSDT,long,25000.0,2170.18,2169.52,-7.6031,0.0,6,0.25,high_vol,normal
164,2026-04-09T01:33:16.339932+00:00,ETHUSDT,long,25000.0,2169.52,2175.14,64.7609,0.0,10,0.25,normal,normal
174,2026-04-09T01:35:38.389184+00:00,ETHUSDT,long,25000.0,2175.14,2177.77,30.2279,0.0,10,0.25,crisis,normal
180,2026-04-09T01:37:06.374405+00:00,ETHUSDT,long,25000.0,2177.77,2176.12,-18.9414,0.0,6,0.25,crisis,normal
186,2026-04-09T01:38:32.755046+00:00,ETHUSDT,long,25000.0,2176.12,2174.31,-20.7939,0.0,6,0.25,normal,normal
196,2026-04-09T01:41:00.784801+00:00,ETHUSDT,long,25000.0,2174.31,2174.85,6.2089,0.0,10,0.25,crisis,normal
