cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason
5,2026-04-06T12:43:05.410021+00:00,ETHUSDT,long,11250.0,2152.15,2150.95,-6.2728,0.0,4,0.11250000000000002,crisis,normal
5,2026-04-06T12:43:05.410034+00:00,AVAXUSDT,long,7500.0,9.43,9.42,-7.9533,0.0,4,0.075,crisis,normal
5,2026-04-06T12:43:05.410040+00:00,LINKUSDT,long,11250.0,9.03,9.04,12.4585,0.0,4,0.11250000000000002,crisis,normal
8,2026-04-06T12:43:40.864872+00:00,ETHUSDT,long,6923.0769,2150.95,2150.95,0.0,0.0,3,0.06923076923076923,normal,normal
8,2026-04-06T12:43:40.864907+00:00,DOTUSDT,short,13846.1538,1.297,1.297,-0.0,0.0,3,0.13846153846153847,normal,normal
13,2026-04-06T12:44:48.004100+00:00,AVAXUSDT,long,8571.4286,9.42,9.43,9.0992,0.0,4,0.0857142857142857,normal,normal
14,2026-04-06T12:45:00.118800+00:00,ETHUSDT,long,12857.1429,2150.95,2151.82,5.2004,0.0,5,0.12857142857142856,normal,normal
15,2026-04-06T12:45:16.483694+00:00,LINKUSDT,long,8571.4286,9.04,9.04,0.0,0.0,6,0.0857142857142857,normal,normal
17,2026-04-06T12:45:40.042426+00:00,AVAXUSDT,long,7500.0,9.43,9.43,0.0,0.0,4,0.075,normal,normal
21,2026-04-06T12:46:32.915432+00:00,ETHUSDT,long,9375.0,2152.91,2154.18,5.5303,0.0,6,0.09375000000000001,high_vol,normal
21,2026-04-06T12:46:32.915464+00:00,AVAXUSDT,long,6250.0,9.43,9.43,0.0,0.0,4,0.0625,high_vol,normal
22,2026-04-06T12:46:44.763139+00:00,LINKUSDT,long,9375.0,9.04,9.05,10.3706,0.0,7,0.09375000000000001,normal,normal
24,2026-04-06T12:47:09.687284+00:00,ETHUSDT,long,10714.2857,2154.18,2154.18,0.0,0.0,3,0.10714285714285715,high_vol,normal
27,2026-04-06T12:47:51.515129+00:00,AVAXUSDT,long,7142.8571,9.43,9.43,0.0,0.0,6,0.07142857142857144,high_vol,normal
28,2026-04-06T12:48:03.202618+00:00,LINKUSDT,long,7142.8571,9.05,9.04,-7.8927,0.0,5,0.07142857142857144,high_vol,normal
30,2026-04-06T12:48:31.398242+00:00,ETHUSDT,long,10714.2857,2153.71,2153.63,-0.398,0.0,5,0.10714285714285715,high_vol,normal
33,2026-04-06T12:49:06.646514+00:00,AVAXUSDT,long,7142.8571,9.43,9.43,0.0,0.0,6,0.07142857142857144,normal,normal
33,2026-04-06T12:49:06.646546+00:00,LINKUSDT,long,7142.8571,9.04,9.04,0.0,0.0,4,0.07142857142857144,normal,normal
34,2026-04-06T12:49:18.948090+00:00,ETHUSDT,long,10714.2857,2153.63,2153.63,0.0,0.0,3,0.10714285714285715,normal,normal
36,2026-04-06T12:49:47.246981+00:00,LINKUSDT,long,7142.8571,9.04,9.03,-7.9014,0.0,3,0.07142857142857142,normal,normal
38,2026-04-06T12:50:11.154414+00:00,AVAXUSDT,long,7142.8571,9.43,9.42,-7.5746,0.0,5,0.07142857142857142,normal,normal
39,2026-04-06T12:50:23.265288+00:00,ETHUSDT,long,5357.1429,2152.77,2152.77,0.0,0.0,4,0.053571428571428575,normal,normal
42,2026-04-06T12:51:03.410017+00:00,ETHUSDT,long,10714.2857,2152.77,2150.04,-13.5871,0.0,3,0.10714285714285714,normal,normal
44,2026-04-06T12:51:27.143878+00:00,AVAXUSDT,long,7142.8571,9.42,9.42,0.0,0.0,5,0.07142857142857142,normal,normal
45,2026-04-06T12:51:43.400503+00:00,LINKUSDT,long,7142.8571,9.03,9.02,-7.9101,0.0,6,0.07142857142857142,normal,normal
48,2026-04-06T12:52:20.318286+00:00,ETHUSDT,long,10714.2857,2150.04,2149.8,-1.196,0.0,5,0.10714285714285714,high_vol,normal
51,2026-04-06T12:53:04.347778+00:00,LINKUSDT,long,7142.8571,9.02,9.02,0.0,0.0,6,0.07142857142857142,high_vol,normal
52,2026-04-06T12:53:16.044942+00:00,AVAXUSDT,long,7142.8571,9.41,9.41,0.0,0.0,7,0.07142857142857142,high_vol,normal
56,2026-04-06T12:54:08.446180+00:00,ETHUSDT,long,5357.1429,2149.8,2147.25,-6.3544,0.0,7,0.053571428571428575,normal,normal
