cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason
10,2026-04-13T02:57:06.739016+00:00,NEARUSDT,long,10390.8723,1.362,1.36,-15.2583,0.0,9,0.10390872298011089,high_vol,normal
11,2026-04-13T02:57:20.104868+00:00,ARBUSDT,long,12347.7461,0.1111,0.1112,11.1141,0.0,10,0.12347746126731886,normal,normal
20,2026-04-13T02:59:39.216085+00:00,ARBUSDT,long,10397.8859,0.1112,0.1111,-9.3506,0.0,6,0.10397885882623363,normal,normal
22,2026-04-13T03:00:06.112273+00:00,ETHUSDT,long,5555.5556,2194.66,2194.25,-1.0379,0.0,6,0.05555555555555555,crisis,normal
23,2026-04-13T03:00:24.794923+00:00,NEARUSDT,long,10397.8859,1.362,1.361,-7.6343,0.0,9,0.10397885882623363,crisis,normal
23,2026-04-13T03:00:24.794937+00:00,ADAUSDT,short,5522.5369,0.2368,0.2369,-2.3322,0.0,9,0.055225369408519645,crisis,normal
30,2026-04-13T03:02:13.227005+00:00,ARBUSDT,long,5756.4463,0.1111,0.1112,5.1813,0.0,10,0.05756446251653919,crisis,normal
30,2026-04-13T03:02:13.227109+00:00,ETHUSDT,long,5727.1682,2194.4,2192.92,-3.8627,0.0,6,0.0572716822898959,crisis,normal
30,2026-04-13T03:02:13.227126+00:00,NEARUSDT,long,5727.1682,1.361,1.359,-8.4161,0.0,6,0.0572716822898959,crisis,normal
34,2026-04-13T03:03:11.281696+00:00,ADAUSDT,short,7818.4953,0.2369,0.2369,-0.0,0.0,10,0.07818495313031229,crisis,normal
36,2026-04-13T03:03:37.497514+00:00,ARBUSDT,long,10113.1339,0.1112,0.1111,-9.0945,0.0,6,0.10113133911747986,normal,normal
40,2026-04-13T03:04:45.158417+00:00,NEARUSDT,long,8470.2832,1.359,1.36,6.2327,0.0,10,0.08470283196088098,normal,normal
44,2026-04-13T03:05:48.990909+00:00,ADAUSDT,short,6975.5732,0.2369,0.2369,-0.0,0.0,10,0.0697557318228517,high_vol,normal
49,2026-04-13T03:07:00.478729+00:00,ARBUSDT,long,9177.5343,0.111,0.1111,8.268,0.0,10,0.09177534256262226,normal,normal
54,2026-04-13T03:08:40.430532+00:00,ADAUSDT,short,25000.0,0.2369,0.2368,10.553,0.0,10,0.25,normal,normal
58,2026-04-13T03:09:37.686214+00:00,NEARUSDT,long,8979.0444,1.359,1.356,-19.8213,0.0,7,0.08979044359490146,normal,normal
59,2026-04-13T03:09:54.795473+00:00,ETHUSDT,long,5637.2069,2193.65,2192.46,-3.058,0.0,6,0.056372068717747734,normal,normal
61,2026-04-13T03:10:23.667578+00:00,ARBUSDT,long,9685.9812,0.111,0.111,0.0,0.0,10,0.09685981170550095,crisis,normal
65,2026-04-13T03:11:21.619297+00:00,ADAUSDT,short,8115.1961,0.2368,0.2368,-0.0,0.0,10,0.08115196078431372,crisis,normal
67,2026-04-13T03:11:51.969017+00:00,NEARUSDT,long,9071.317,1.356,1.355,-6.6898,0.0,8,0.0907131697581896,crisis,normal
72,2026-04-13T03:13:03.863015+00:00,ARBUSDT,long,9964.0579,0.111,0.1109,-8.9766,0.0,9,0.09964057908709247,crisis,normal
73,2026-04-13T03:13:17.298656+00:00,ADAUSDT,short,8146.1501,0.2369,0.237,-3.4386,0.0,6,0.08146150073565472,crisis,normal
