cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason
19,2026-04-12T07:59:46.745351+00:00,ETHUSDT,long,5454.5455,2219.58,2219.26,-0.7864,0.0,8,0.05454545454545454,normal,normal
21,2026-04-12T08:00:10.621768+00:00,NEARUSDT,long,8181.8182,1.336,1.336,0.0,0.0,10,0.08181818181818183,normal,normal
21,2026-04-12T08:00:10.621794+00:00,ARBUSDT,long,8181.8182,0.111,0.111,0.0,0.0,10,0.08181818181818183,normal,normal
21,2026-04-12T08:00:10.621809+00:00,ADAUSDT,short,8181.8182,0.2419,0.2417,6.7646,0.0,10,0.08181818181818183,normal,normal
28,2026-04-12T08:01:40.340697+00:00,ETHUSDT,long,6269.4471,2219.26,2217.92,-3.7855,0.0,6,0.06269447068058873,high_vol,normal
28,2026-04-12T08:01:40.340721+00:00,NEARUSDT,long,6410.1161,1.336,1.335,-4.798,0.0,6,0.06410116072942383,high_vol,normal
28,2026-04-12T08:01:40.340734+00:00,ARBUSDT,long,6410.1161,0.111,0.1109,-5.7749,0.0,6,0.06410116072942383,high_vol,normal
32,2026-04-12T08:02:33.790180+00:00,ADAUSDT,short,5910.3208,0.2417,0.2408,22.0078,0.0,10,0.0591032078605636,normal,normal
41,2026-04-12T08:04:34.550626+00:00,ETHUSDT,long,6021.4783,2218.01,2216.74,-3.4478,0.0,6,0.06021478314925646,normal,normal
41,2026-04-12T08:04:34.550644+00:00,NEARUSDT,long,6637.5518,1.336,1.335,-4.9682,0.0,6,0.06637551804646727,normal,normal
41,2026-04-12T08:04:34.550655+00:00,ARBUSDT,long,6637.5518,0.1109,0.1108,-5.9852,0.0,6,0.06637551804646727,normal,normal
45,2026-04-12T08:05:27.705477+00:00,ADAUSDT,short,5703.4181,0.2409,0.2409,-0.0,0.0,10,0.05703418075780898,normal,normal
