cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe
3,2026-04-14T10:45:30.255769+00:00,ADAUSDT,long,20000.0,0.295,0.2818,-894.9153,0.0,1,0.19999999999999998,normal,normal,-894.9153,0.0
6,2026-04-14T10:45:35.163583+00:00,ADAUSDT,long,23403.335,0.2858,0.2735,-1007.2114,0.0,2,0.23403334997616848,crisis,normal,-1007.2114,0.0
13,2026-04-14T10:45:59.745362+00:00,ARBUSDT,short,30000.0,0.0946,0.1008,-1966.1734,0.0,3,0.3,crisis,normal,-1966.1734,792.8118
15,2026-04-14T10:46:02.839515+00:00,NEARUSDT,long,5778.2764,1.127,1.094,-169.1953,0.0,1,0.05778276404260784,crisis,normal,-169.1953,0.0
18,2026-04-14T10:46:07.290856+00:00,ARBUSDT,short,21008.4015,0.1001,0.1018,-356.786,0.0,4,0.21008401526219594,normal,normal,-356.786,125.9245
22,2026-04-14T10:46:24.852112+00:00,NEARUSDT,long,7815.4993,1.172,1.227,366.7683,0.0,6,0.078154992744782,normal,normal,-146.7073,1253.6808
31,2026-04-14T10:46:46.402305+00:00,ADAUSDT,short,20850.6054,0.2621,0.2702,-644.372,0.0,5,0.20850605402854472,high_vol,normal,-644.372,0.0
39,2026-04-14T10:46:56.420290+00:00,ARBUSDT,short,6462.0012,0.0963,0.0975,-80.5234,0.0,2,0.0646200124439825,normal,normal,-80.5234,254.9907
40,2026-04-14T10:47:14.687465+00:00,NEARUSDT,long,6770.637,1.281,1.292,58.1397,0.0,3,0.06770637027743517,normal,normal,-36.998,158.5629
41,2026-04-14T10:47:17.429537+00:00,ADAUSDT,short,25000.0,0.2904,0.2705,1713.1543,0.0,9,0.25,normal,normal,0.0,3426.3085
42,2026-04-14T10:47:18.591235+00:00,ETHUSDT,long,11767.3617,2084.87,2060.43,-137.9435,0.0,5,0.11767361727858236,normal,normal,-174.8564,474.9569
47,2026-04-14T10:47:24.536691+00:00,NEARUSDT,short,25000.0,1.162,1.189,-580.895,0.0,1,0.25,normal,normal,-580.895,0.0
48,2026-04-14T10:47:25.546953+00:00,ARBUSDT,short,10809.6287,0.0975,0.0944,343.6908,0.0,9,0.10809628717682888,normal,normal,-144.1284,1008.8987
49,2026-04-14T10:47:26.915537+00:00,ETHUSDT,long,13125.88,2140.35,2057.17,-510.1085,0.0,1,0.1312587996806515,normal,normal,-510.1085,0.0
50,2026-04-14T10:47:40.575341+00:00,NEARUSDT,short,8721.7309,1.191,1.209,-131.8146,0.0,2,0.08721730893559601,high_vol,normal,-131.8146,212.3679
67,2026-04-14T10:48:10.612502+00:00,ADAUSDT,long,18699.5169,0.2858,0.2735,-804.7728,0.0,2,0.18699516864743312,crisis,normal,-804.7728,0.0
71,2026-04-14T10:48:14.280618+00:00,ADAUSDT,long,17553.9741,0.2735,0.2717,-115.5289,0.0,4,0.17553974083654236,crisis,normal,-115.5289,731.683
74,2026-04-14T10:48:18.111883+00:00,ARBUSDT,short,25000.0,0.097,0.1008,-979.3814,0.0,5,0.25,crisis,normal,-979.3814,1262.8866
79,2026-04-14T10:48:22.923110+00:00,ARBUSDT,short,17382.7708,0.1001,0.1018,-295.2119,0.0,4,0.17382770810878098,normal,normal,-295.2119,104.1924
83,2026-04-14T10:48:27.048912+00:00,NEARUSDT,long,7206.6651,1.15,1.227,482.5332,0.0,5,0.07206665111558738,normal,normal,0.0,1315.9997
86,2026-04-14T10:48:29.799198+00:00,ADAUSDT,short,11963.8564,0.259,0.2552,175.5315,0.0,3,0.11963856385549661,normal,normal,0.0,448.0672
87,2026-04-14T10:48:30.960958+00:00,ADAUSDT,short,11496.5533,0.2552,0.2621,-310.8394,0.0,1,0.11496553264620285,normal,normal,-310.8394,0.0
93,2026-04-14T10:48:42.673744+00:00,NEARUSDT,long,9317.9157,1.227,1.49,1997.2387,0.0,10,0.09317915686052623,high_vol,normal,-113.9109,1997.2387
100,2026-04-14T10:48:50.722365+00:00,ARBUSDT,short,6513.4704,0.0963,0.0975,-81.1647,0.0,2,0.06513470356670643,normal,normal,-81.1647,257.0217
101,2026-04-14T10:48:52.197289+00:00,NEARUSDT,long,6751.839,1.281,1.292,57.9783,0.0,3,0.06751838953478285,normal,normal,-36.8953,158.1227
102,2026-04-14T10:48:53.717890+00:00,ADAUSDT,short,25000.0,0.2904,0.2705,1713.1543,0.0,9,0.25,normal,normal,0.0,3426.3085
103,2026-04-14T10:48:54.723758+00:00,ETHUSDT,long,11734.6907,2084.87,2060.43,-137.5605,0.0,5,0.11734690689851072,normal,normal,-174.3709,473.6383
108,2026-04-14T10:49:01.835648+00:00,NEARUSDT,short,18366.1565,1.164,1.189,-394.4621,0.0,2,0.18366156521554353,normal,normal,-394.4621,31.557
109,2026-04-14T10:49:03.394204+00:00,ARBUSDT,short,10874.5284,0.0975,0.0944,345.7542,0.0,9,0.10874528408814908,normal,normal,-144.9937,1014.956
110,2026-04-14T10:49:04.316704+00:00,ETHUSDT,long,16799.1496,1992.75,2057.17,543.0692,0.0,6,0.16799149560510787,normal,normal,-68.3684,1244.2878
110,2026-04-14T10:49:04.316724+00:00,ADAUSDT,long,6381.7757,0.2418,0.2394,-63.3427,0.0,2,0.06381775735025899,normal,normal,-63.3427,174.1924
111,2026-04-14T10:49:05.816739+00:00,NEARUSDT,short,12236.4485,1.189,1.209,-205.8276,0.0,3,0.12236448529948202,high_vol,normal,-205.8276,277.8672
120,2026-04-14T10:49:22.507637+00:00,ETHUSDT,long,6363.5203,2057.17,2191.65,415.992,0.0,10,0.06363520315121453,normal,normal,-10.3317,704.7241
120,2026-04-14T10:49:22.507668+00:00,ARBUSDT,long,6363.5203,0.0909,0.111,1407.1151,0.0,10,0.06363520315121453,normal,normal,0.0,1792.1465
128,2026-04-14T10:49:47.760882+00:00,ADAUSDT,long,18699.5169,0.2858,0.2735,-804.7728,0.0,2,0.18699516864743312,crisis,normal,-804.7728,0.0
131,2026-04-14T10:49:55.360114+00:00,ARBUSDT,short,6373.6757,0.098,0.0983,-19.5113,0.0,2,0.06373675703883262,crisis,normal,-19.5113,65.0375
132,2026-04-14T10:49:57.527047+00:00,ADAUSDT,long,16795.0236,0.2729,0.2717,-73.8513,0.0,3,0.16795023636016304,crisis,normal,-73.8513,738.5133
135,2026-04-14T10:50:07.668769+00:00,ARBUSDT,short,9967.5338,0.0983,0.1008,-253.4978,0.0,4,0.09967533793088816,crisis,normal,-253.4978,628.6746
137,2026-04-14T10:50:12.479529+00:00,ADAUSDT,long,9126.6904,0.2623,0.2776,532.3613,0.0,4,0.09126690378210874,crisis,normal,-125.2615,1210.8609
140,2026-04-14T10:50:22.563053+00:00,ARBUSDT,short,25000.0,0.1008,0.1018,-248.0159,0.0,5,0.25,normal,normal,-248.0159,322.4206
145,2026-04-14T10:50:38.338256+00:00,NEARUSDT,long,6770.3502,1.094,1.214,742.6344,0.0,8,0.06770350158582546,normal,normal,0.0,1646.1729
148,2026-04-14T10:50:47.330650+00:00,ADAUSDT,short,6230.1226,0.2692,0.2621,164.316,0.0,5,0.06230122559999851,normal,normal,0.0,460.5477
