cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe
4,2026-04-14T10:48:01.748151+00:00,ADAUSDT,long,15000.0,1.051,1.027,-342.5309,0.0,2,0.15,normal,normal,-342.5309,642.2455
4,2026-04-14T10:48:01.748169+00:00,NEARUSDT,long,15000.0,11.12,10.863,-346.6727,0.0,2,0.15,normal,normal,-346.6727,122.7518
6,2026-04-14T10:48:04.653935+00:00,ETHUSDT,short,17195.6376,2680.67,2994.99,-2016.2619,0.0,2,0.1719563759186805,crisis,normal,-2016.2619,0.0
12,2026-04-14T10:48:25.355937+00:00,NEARUSDT,long,6402.1812,10.863,11.787,544.5655,0.0,8,0.06402181204065975,crisis,normal,0.0,1555.9015
13,2026-04-14T10:48:26.713532+00:00,ADAUSDT,long,6402.1812,1.027,1.079,324.1611,0.0,9,0.06402181204065975,crisis,normal,0.0,1072.2251
33,2026-04-14T10:49:19.177585+00:00,ADAUSDT,long,12500.0,0.856,0.903,686.3318,0.0,4,0.125,crisis,normal,0.0,1562.5
34,2026-04-14T10:49:20.613795+00:00,ADAUSDT,long,25000.0,0.903,0.844,-1633.4441,0.0,1,0.25,crisis,normal,-1633.4441,0.0
36,2026-04-14T10:49:31.506785+00:00,NEARUSDT,long,12500.0,8.508,10.094,2330.1598,0.0,7,0.125,normal,normal,0.0,4848.378
36,2026-04-14T10:49:31.506820+00:00,ADAUSDT,long,25000.0,0.864,0.823,-1186.3426,0.0,1,0.25,normal,normal,-1186.3426,0.0
43,2026-04-14T10:49:59.234423+00:00,ETHUSDT,long,7372.6628,2568.8,2515.65,-152.5448,0.0,1,0.07372662816466988,crisis,normal,-152.5448,0.0
52,2026-04-14T10:50:49.502017+00:00,ADAUSDT,long,17627.3372,0.789,0.975,4155.4939,0.0,10,0.17627337183533012,normal,normal,-67.0241,4155.4939
52,2026-04-14T10:50:49.502035+00:00,ETHUSDT,short,6218.5012,2938.92,2969.64,-65.0009,0.0,4,0.062185012051712805,normal,normal,-65.0009,164.068
53,2026-04-14T10:50:51.345310+00:00,ETHUSDT,short,7115.3967,2969.64,3036.0,-159.0017,0.0,1,0.07115396669522157,normal,normal,-159.0017,0.0
56,2026-04-14T10:50:54.692881+00:00,ADAUSDT,short,16666.6667,1.131,1.152,-309.4607,0.0,2,0.16666666666666669,high_vol,normal,-309.4607,515.7678
57,2026-04-14T10:50:55.635596+00:00,ETHUSDT,short,8333.3333,3110.76,3295.65,-495.297,0.0,3,0.08333333333333334,high_vol,normal,-495.297,23.0919
62,2026-04-14T10:51:02.453098+00:00,NEARUSDT,long,14326.905,11.07,14.74,4749.7508,0.0,10,0.14326904995716763,high_vol,normal,0.0,4749.7508
62,2026-04-14T10:51:02.453837+00:00,ETHUSDT,short,12500.0,3400.51,3455.21,-201.0728,0.0,3,0.125,high_vol,normal,-201.0728,437.4344
64,2026-04-14T10:51:04.933636+00:00,ADAUSDT,short,12500.0,1.191,1.186,52.4769,0.0,5,0.125,high_vol,normal,0.0,524.7691
64,2026-04-14T10:51:04.933651+00:00,ETHUSDT,short,12500.0,3443.77,3521.91,-283.6281,0.0,1,0.125,high_vol,normal,-283.6281,0.0
75,2026-04-14T10:51:19.759650+00:00,ETHUSDT,short,8323.6054,3519.5,3021.98,1176.6331,0.0,10,0.0832360540219239,normal,normal,0.0,1276.5305
75,2026-04-14T10:51:19.759667+00:00,ADAUSDT,short,16676.3946,1.212,0.933,3838.873,0.0,10,0.1667639459780761,normal,normal,0.0,4017.7452
78,2026-04-14T10:51:24.665143+00:00,ADAUSDT,long,25000.0,0.933,0.914,-509.1104,0.0,3,0.25,normal,normal,-509.1104,616.2915
81,2026-04-14T10:51:30.655608+00:00,ADAUSDT,long,25000.0,0.937,0.937,0.0,0.0,2,0.25,normal,normal,0.0,400.2134
82,2026-04-14T10:51:32.315355+00:00,ADAUSDT,long,25000.0,0.937,0.91,-720.3842,0.0,1,0.25,normal,normal,-720.3842,0.0
84,2026-04-14T10:51:36.257444+00:00,ADAUSDT,long,25000.0,0.906,0.886,-551.8764,0.0,1,0.25,normal,normal,-551.8764,0.0
87,2026-04-14T10:51:44.730573+00:00,ADAUSDT,long,25000.0,0.886,0.8259,-1695.8239,0.0,2,0.25,normal,normal,-1695.8239,321.6704
88,2026-04-14T10:51:46.781986+00:00,ETHUSDT,short,5358.3678,2809.67,2888.96,-151.2153,0.0,1,0.053583677646585955,normal,normal,-151.2153,0.0
89,2026-04-14T10:51:49.266072+00:00,NEARUSDT,long,11262.9485,12.685,12.402,-251.2743,0.0,2,0.11262948463351051,normal,normal,-251.2743,172.2516
90,2026-04-14T10:51:51.897016+00:00,ADAUSDT,long,8378.6838,0.8259,0.8048,-214.0577,0.0,3,0.08378683771990356,normal,normal,-214.0577,175.507
90,2026-04-14T10:51:51.897045+00:00,NEARUSDT,long,10850.114,12.402,11.289,-973.7282,0.0,1,0.10850114049624489,normal,normal,-973.7282,0.0
93,2026-04-14T10:52:01.200982+00:00,ETHUSDT,short,9309.1173,2936.93,2856.54,254.8103,0.0,4,0.09309117277073033,normal,normal,0.0,666.4878
94,2026-04-14T10:52:04.215191+00:00,ADAUSDT,long,6223.455,0.7556,0.7711,127.6648,0.0,3,0.06223454992740099,normal,normal,0.0,279.2154
95,2026-04-14T10:52:07.013074+00:00,ETHUSDT,short,13964.2712,2856.54,2940.64,-411.1251,0.0,2,0.1396427119981792,normal,normal,-411.1251,365.8573
96,2026-04-14T10:52:10.161669+00:00,NEARUSDT,long,6223.455,10.336,11.217,530.4628,0.0,5,0.06223454992740099,crisis,normal,0.0,1591.3885
100,2026-04-14T10:52:21.863531+00:00,NEARUSDT,long,12548.813,11.145,9.399,-1965.9244,0.0,1,0.12548812965271333,crisis,normal,-1965.9244,0.0
105,2026-04-14T10:52:33.486367+00:00,ETHUSDT,short,14678.2842,2940.64,2056.48,4413.3086,0.0,10,0.14678284152523288,crisis,normal,0.0,4893.793
109,2026-04-14T10:52:43.564000+00:00,ADAUSDT,short,6285.727,0.7403,0.5059,1990.2396,0.0,10,0.06285726982119955,crisis,normal,0.0,2267.0392
114,2026-04-14T10:52:53.033875+00:00,ETHUSDT,long,8333.3333,2043.19,1973.32,-284.9711,0.0,1,0.08333333333333333,crisis,normal,-284.9711,0.0
114,2026-04-14T10:52:53.033936+00:00,ADAUSDT,long,8333.3333,0.5416,0.5134,-433.8996,0.0,1,0.08333333333333333,crisis,normal,-433.8996,0.0
114,2026-04-14T10:52:53.033954+00:00,NEARUSDT,long,8333.3333,6.242,5.846,-528.6767,0.0,1,0.08333333333333333,crisis,normal,-528.6767,0.0
116,2026-04-14T10:52:56.714896+00:00,NEARUSDT,long,12500.0,5.97,5.758,-443.8861,0.0,1,0.125,crisis,normal,-443.8861,0.0
117,2026-04-14T10:53:00.077149+00:00,ADAUSDT,long,12500.0,0.5219,0.4789,-1029.8908,0.0,2,0.125,normal,normal,-1029.8908,0.0
