cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason
3,2026-03-27T01:14:08.388542+00:00,LINKUSDT,long,20000.0,8.95,8.94,-22.3464,0.0,0,,unknown,normal
4,2026-03-27T01:14:40.581248+00:00,MATICUSDT,short,5714.2857,0.3794,0.3794,-0.0,0.0,0,,unknown,normal
5,2026-03-27T01:15:17.143512+00:00,ADAUSDT,short,5714.2857,0.2549,0.2549,-0.0,0.0,0,,unknown,normal
5,2026-03-27T01:15:17.143535+00:00,LINKUSDT,short,5000.0,8.94,8.95,-5.5928,0.0,0,,unknown,normal
6,2026-03-27T01:15:51.854849+00:00,ETHUSDT,long,20000.0,2068.82,2069.73,8.7973,0.0,0,,unknown,normal
6,2026-03-27T01:15:51.854867+00:00,SOLUSDT,long,20000.0,86.69,86.71,4.6141,0.0,0,,unknown,normal
6,2026-03-27T01:15:51.854875+00:00,BTCUSDT,short,5714.2857,68848.06,68875.14,-2.2476,0.0,0,,unknown,normal
6,2026-03-27T01:15:51.854884+00:00,XRPUSDT,short,5714.2857,1.3643,1.3655,-5.0261,0.0,0,,unknown,normal
7,2026-03-27T01:16:30.084121+00:00,BNBUSDT,short,5714.2857,629.74,629.85,-0.9981,0.0,0,,unknown,normal
7,2026-03-27T01:16:30.084141+00:00,LINKUSDT,long,20000.0,8.95,8.93,-44.6927,0.0,0,,unknown,normal
