cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason
13,2026-04-07T21:34:26.311560+00:00,SOLUSDT,short,30000.0,82.4,82.48,-29.1262,0.0,4,0.3,normal,normal
17,2026-04-07T21:35:38.265258+00:00,SOLUSDT,short,30000.0,82.48,82.5,-7.2745,0.0,4,0.3,crisis,normal
22,2026-04-07T21:37:03.427499+00:00,SOLUSDT,short,25000.0,82.5,82.61,-33.3333,0.0,5,0.25,crisis,normal
30,2026-04-07T21:39:19.761751+00:00,SOLUSDT,short,12591.225,82.61,82.62,-1.5242,0.0,5,0.12591224999663306,normal,normal
30,2026-04-07T21:39:19.761773+00:00,XRPUSDT,short,12408.775,1.3345,1.3347,-1.8597,0.0,5,0.12408775000336693,normal,normal
38,2026-04-07T21:41:34.713308+00:00,XRPUSDT,short,25000.0,1.3347,1.3359,-22.477,0.0,5,0.25,normal,normal
46,2026-04-07T21:43:44.750359+00:00,ETHUSDT,long,17946.9221,2141.29,2140.66,-5.2803,0.0,4,0.1794692206283374,normal,normal
56,2026-04-07T21:46:40.149320+00:00,AVAXUSDT,long,7942.2637,8.98,9.0,17.6888,0.0,10,0.07942263679040455,crisis,normal
58,2026-04-07T21:47:12.656448+00:00,SOLUSDT,short,7302.7937,82.99,83.03,-3.5198,0.0,4,0.0730279371929515,normal,normal
58,2026-04-07T21:47:12.656478+00:00,BNBUSDT,short,5197.2063,612.64,612.89,-2.1208,0.0,4,0.05197206280704849,normal,normal
73,2026-04-07T21:51:25.738403+00:00,SOLUSDT,short,14535.7446,82.85,82.9,-8.7723,0.0,6,0.14535744630779812,normal,normal
73,2026-04-07T21:51:25.738729+00:00,BNBUSDT,short,10464.2554,611.95,612.0,-0.855,0.0,6,0.10464255369220189,normal,normal
79,2026-04-07T21:53:07.893651+00:00,AVAXUSDT,long,11068.7571,9.09,9.08,-12.1769,0.0,4,0.11068757081168244,normal,normal
79,2026-04-07T21:53:07.893662+00:00,SOLUSDT,short,5695.3226,82.9,83.08,-12.3662,0.0,4,0.05695322581590274,normal,normal
85,2026-04-07T21:54:46.179738+00:00,AVAXUSDT,long,5529.3594,9.08,9.07,-6.0896,0.0,6,0.055293594294049016,normal,normal
91,2026-04-07T21:56:22.926219+00:00,ADAUSDT,long,5649.2394,0.253,0.2529,-2.2329,0.0,4,0.05649239409037059,high_vol,normal
91,2026-04-07T21:56:22.926239+00:00,AVAXUSDT,long,5723.017,9.07,9.03,-25.2393,0.0,4,0.057230170051086,high_vol,normal
93,2026-04-07T21:56:55.424730+00:00,BNBUSDT,short,25000.0,612.82,611.76,43.2427,0.0,10,0.25,high_vol,normal
95,2026-04-07T21:57:28.990595+00:00,XRPUSDT,short,12500.0,1.3366,1.3367,-0.9352,0.0,4,0.125,high_vol,normal
97,2026-04-07T21:58:01.450367+00:00,SOLUSDT,short,5601.8749,82.94,82.9,2.7017,0.0,10,0.05601874947472819,high_vol,normal
103,2026-04-07T21:59:41.102346+00:00,XRPUSDT,short,25000.0,1.3369,1.338,-20.57,0.0,4,0.25,normal,normal
105,2026-04-07T22:00:17.752364+00:00,ADAUSDT,long,6790.5013,0.2531,0.2542,29.5123,0.0,10,0.06790501283226885,high_vol,normal
105,2026-04-07T22:00:17.752404+00:00,AVAXUSDT,long,6948.9432,9.04,9.07,23.0607,0.0,10,0.06948943236061277,high_vol,normal
107,2026-04-07T22:01:02.309938+00:00,SOLUSDT,short,6475.7119,82.92,83.05,-10.1525,0.0,4,0.06475711867889875,high_vol,normal
115,2026-04-07T22:03:08.964607+00:00,SOLUSDT,short,5193.3725,83.01,83.15,-8.7589,0.0,4,0.051933725060254905,crisis,normal
130,2026-04-07T22:07:15.247989+00:00,SOLUSDT,short,5216.2185,83.19,83.56,-23.1999,0.0,4,0.052162184725721046,crisis,normal
140,2026-04-07T22:09:55.815464+00:00,XRPUSDT,short,12500.0,1.3412,1.3408,3.728,0.0,10,0.125,crisis,normal
145,2026-04-07T22:11:22.193213+00:00,SOLUSDT,short,12500.0,83.47,83.06,61.3993,0.0,10,0.125,crisis,normal
152,2026-04-07T22:13:17.300622+00:00,SOLUSDT,short,5069.2259,83.06,83.32,-15.868,0.0,4,0.050692259160792716,normal,normal
165,2026-04-07T22:17:00.514575+00:00,XRPUSDT,short,12500.0,1.341,1.3413,-2.7964,0.0,8,0.125,crisis,normal
175,2026-04-07T22:19:39.598444+00:00,SOLUSDT,short,5060.1835,83.57,83.34,13.9266,0.0,10,0.050601834953179325,crisis,normal
183,2026-04-07T22:21:54.877128+00:00,SOLUSDT,short,12500.0,83.3,83.32,-3.0012,0.0,4,0.125,normal,normal
