102,2026-05-31T09:24:35.387449+00:00,ADAUSDT,short,25000.0,0.2904,0.2705,1713.1543,0.0,9,0.25,normal,normal,0.0,3426.3085,0.5,,0.5
103,2026-05-31T09:24:46.821659+00:00,ETHUSDT,long,10751.7428,2084.87,2060.43,-126.0379,0.0,5,0.10751742794714389,normal,normal,-159.7649,433.9643,,0.7889,-0.7889
108,2026-05-31T09:25:45.494344+00:00,NEARUSDT,short,16666.6667,1.164,1.189,-357.9611,0.0,2,0.16666666666666669,normal,normal,-357.9611,28.6369,,1.0,-1.0
109,2026-05-31T09:25:57.510502+00:00,ARBUSDT,short,9910.7898,0.0975,0.0944,315.1123,0.0,9,0.0991078977289292,normal,normal,-132.1439,925.007,0.3407,,0.3407
109,2026-05-31T09:25:57.510517+00:00,ADAUSDT,short,8333.3333,0.2418,0.2484,-227.4607,0.0,1,0.08333333333333333,normal,normal,-227.4607,0.0,,1.0,-1.0
110,2026-05-31T09:26:08.865895+00:00,ETHUSDT,long,16775.7258,1992.75,2057.17,542.312,0.0,6,0.16775725849449855,normal,normal,-68.2731,1242.5528,0.4364,,0.4364
111,2026-05-31T09:26:20.713324+00:00,NEARUSDT,short,8333.3333,1.189,1.209,-140.1738,0.0,3,0.08333333333333333,high_vol,normal,-140.1738,189.2347,,1.0,-1.0
120,2026-05-31T09:28:05.945107+00:00,ETHUSDT,long,14354.4156,2057.17,2191.65,938.3677,0.0,10,0.1435441562226756,normal,normal,-23.3057,1589.6707,0.5903,,0.5903
123,2026-05-31T09:28:41.545165+00:00,ETHUSDT,long,5599.4443,2386.68,2048.72,-792.8956,0.0,1,0.055994442559653634,crisis,normal,-792.8956,0.0,,1.0,-1.0
123,2026-05-31T09:28:41.545180+00:00,NEARUSDT,long,5599.4443,1.426,1.024,-1578.525,0.0,1,0.055994442559653634,crisis,normal,-1578.525,0.0,,1.0,-1.0
123,2026-05-31T09:28:41.545188+00:00,ADAUSDT,short,8201.6672,0.2443,0.2728,-956.8052,0.0,1,0.08201667232103912,crisis,normal,-956.8052,0.0,,1.0,-1.0
125,2026-05-31T09:29:05.372873+00:00,ARBUSDT,long,5599.4443,0.1132,0.1146,69.2511,0.0,3,0.055994442559653634,crisis,normal,0.0,361.0949,0.1918,,0.1918
128,2026-05-31T09:29:40.581492+00:00,ADAUSDT,long,16607.8533,0.2858,0.2735,-714.7537,0.0,2,0.16607853310129067,crisis,normal,-714.7537,0.0,,1.0,-1.0
132,2026-05-31T09:30:27.484191+00:00,ADAUSDT,long,15840.8552,0.2735,0.2717,-104.2543,0.0,4,0.15840855229108056,crisis,normal,-104.2543,660.277,,1.0,-1.0
133,2026-05-31T09:30:39.252526+00:00,ADAUSDT,long,13855.9867,0.2717,0.2623,-479.3753,0.0,1,0.1385598674802578,crisis,normal,-479.3753,0.0,,1.0,-1.0
135,2026-05-31T09:31:01.457399+00:00,ARBUSDT,short,7868.3436,0.097,0.1008,-308.2444,0.0,5,0.07868343593047873,crisis,normal,-308.2444,397.473,,1.0,-1.0
137,2026-05-31T09:31:24.551968+00:00,ADAUSDT,long,5646.6979,0.2587,0.2776,412.5342,0.0,3,0.05646697876487819,crisis,normal,0.0,838.1647,0.4922,,0.4922
140,2026-05-31T09:31:59.827559+00:00,ARBUSDT,short,8007.5301,0.1001,0.1018,-135.992,0.0,4,0.08007530092249547,normal,normal,-135.992,47.9972,,1.0,-1.0
144,2026-05-31T09:32:47.039173+00:00,NEARUSDT,long,5646.6979,0.967,1.227,1518.2435,0.0,10,0.05646697876487819,normal,normal,0.0,2294.8834,0.6616,,0.6616
144,2026-05-31T09:32:47.039245+00:00,ETHUSDT,long,6089.7973,2072.86,1978.68,-276.6888,0.0,1,0.06089797307563737,normal,normal,-276.6888,0.0,,1.0,-1.0
148,2026-05-31T09:33:40.322510+00:00,ADAUSDT,short,6232.3226,0.2692,0.2621,164.374,0.0,5,0.062323225593183026,normal,normal,0.0,460.7103,0.3568,,0.3568
153,2026-05-31T09:34:38.529911+00:00,ADAUSDT,short,8146.9438,0.2626,0.2702,-235.7836,0.0,4,0.08146943780949305,high_vol,normal,-235.7836,0.0,,1.0,-1.0
155,2026-05-31T09:35:02.469655+00:00,NEARUSDT,long,8064.5297,1.214,1.452,1581.0198,0.0,10,0.08064529669571219,high_vol,normal,-13.2859,1833.4516,0.8623,,0.8623
161,2026-05-31T09:36:13.512124+00:00,ARBUSDT,short,7080.4287,0.0963,0.0975,-88.2296,0.0,2,0.07080428675476017,normal,normal,-88.2296,279.3939,,1.0,-1.0
162,2026-05-31T09:36:24.909745+00:00,NEARUSDT,long,7167.8285,1.281,1.292,61.5504,0.0,3,0.07167828529809593,normal,normal,-39.1685,167.8648,0.3667,,0.3667
163,2026-05-31T09:36:36.855287+00:00,ADAUSDT,short,25000.0,0.2904,0.2705,1713.1543,0.0,9,0.25,normal,normal,0.0,3426.3085,0.5,,0.5
164,2026-05-31T09:36:48.890724+00:00,ETHUSDT,long,10751.7428,2084.87,2060.43,-126.0379,0.0,5,0.10751742794714389,normal,normal,-159.7649,433.9643,,0.7889,-0.7889
169,2026-05-31T09:37:47.406186+00:00,NEARUSDT,short,16666.6667,1.164,1.189,-357.9611,0.0,2,0.16666666666666669,normal,normal,-357.9611,28.6369,,1.0,-1.0
170,2026-05-31T09:37:59.507021+00:00,ARBUSDT,short,9910.7898,0.0975,0.0944,315.1123,0.0,9,0.0991078977289292,normal,normal,-132.1439,925.007,0.3407,,0.3407
170,2026-05-31T09:37:59.507063+00:00,ADAUSDT,short,8333.3333,0.2418,0.2484,-227.4607,0.0,1,0.08333333333333333,normal,normal,-227.4607,0.0,,1.0,-1.0
171,2026-05-31T09:38:11.371946+00:00,ETHUSDT,long,16775.7258,1992.75,2057.17,542.312,0.0,6,0.16775725849449855,normal,normal,-68.2731,1242.5528,0.4364,,0.4364
172,2026-05-31T09:38:23.243652+00:00,NEARUSDT,short,8333.3333,1.189,1.209,-140.1738,0.0,3,0.08333333333333333,high_vol,normal,-140.1738,189.2347,,1.0,-1.0
181,2026-05-31T09:40:08.132036+00:00,ETHUSDT,long,14354.4156,2057.17,2191.65,938.3677,0.0,10,0.1435441562226756,normal,normal,-23.3057,1589.6707,0.5903,,0.5903
184,2026-05-31T09:40:42.757594+00:00,ETHUSDT,long,5599.4443,2386.68,2048.72,-792.8956,0.0,1,0.055994442559653634,crisis,normal,-792.8956,0.0,,1.0,-1.0
184,2026-05-31T09:40:42.757617+00:00,NEARUSDT,long,5599.4443,1.426,1.024,-1578.525,0.0,1,0.055994442559653634,crisis,normal,-1578.525,0.0,,1.0,-1.0
184,2026-05-31T09:40:42.757631+00:00,ADAUSDT,short,8201.6672,0.2443,0.2728,-956.8052,0.0,1,0.08201667232103912,crisis,normal,-956.8052,0.0,,1.0,-1.0
186,2026-05-31T09:41:06.118011+00:00,ARBUSDT,long,5599.4443,0.1132,0.1146,69.2511,0.0,3,0.055994442559653634,crisis,normal,0.0,361.0949,0.1918,,0.1918
189,2026-05-31T09:41:41.247633+00:00,ADAUSDT,long,16607.8533,0.2858,0.2735,-714.7537,0.0,2,0.16607853310129067,crisis,normal,-714.7537,0.0,,1.0,-1.0
193,2026-05-31T09:42:29.035012+00:00,ADAUSDT,long,15840.8552,0.2735,0.2717,-104.2543,0.0,4,0.15840855229108058,crisis,normal,-104.2543,660.277,,1.0,-1.0
194,2026-05-31T09:42:41.104370+00:00,ADAUSDT,long,13855.9867,0.2717,0.2623,-479.3753,0.0,1,0.13855986748025784,crisis,normal,-479.3753,0.0,,1.0,-1.0
196,2026-05-31T09:43:04.258436+00:00,ARBUSDT,short,7869.0285,0.097,0.1008,-308.2712,0.0,5,0.07869028529606455,crisis,normal,-308.2712,397.5076,,1.0,-1.0
198,2026-05-31T09:43:28.845431+00:00,ADAUSDT,long,5646.6979,0.2587,0.2776,412.5342,0.0,3,0.05646697876487819,crisis,normal,0.0,838.1647,0.4922,,0.4922
