cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason
5,2026-04-07T04:32:10.248353+00:00,ETHUSDT,long,18000.0,2107.76,2111.07,28.267,0.0,4,0.18,crisis,normal
5,2026-04-07T04:32:10.248371+00:00,DOTUSDT,short,6000.0,1.237,1.238,-4.8504,0.0,4,0.06,crisis,normal
6,2026-04-07T04:32:22.046129+00:00,MATICUSDT,short,6000.0,0.3794,0.3794,-0.0,0.0,5,0.06,crisis,normal
10,2026-04-07T04:33:21.128640+00:00,DOTUSDT,short,12000.0,1.238,1.238,-0.0,0.0,5,0.12,normal,normal
11,2026-04-07T04:33:32.868973+00:00,SOLUSDT,short,6000.0,79.92,79.87,3.7538,0.0,6,0.06,normal,normal
11,2026-04-07T04:33:32.868997+00:00,MATICUSDT,short,12000.0,0.3794,0.3794,-0.0,0.0,4,0.12,normal,normal
14,2026-04-07T04:34:09.721148+00:00,MATICUSDT,short,6000.0,0.3794,0.3794,-0.0,0.0,3,0.06,normal,normal
16,2026-04-07T04:34:39.419088+00:00,ETHUSDT,long,18000.0,2111.07,2111.86,6.7359,0.0,7,0.18,crisis,normal
17,2026-04-07T04:34:51.688370+00:00,DOTUSDT,short,6000.0,1.238,1.239,-4.8465,0.0,6,0.06,crisis,normal
20,2026-04-07T04:35:32.947121+00:00,SOLUSDT,short,5000.0,79.93,79.94,-0.6255,0.0,5,0.05,crisis,normal
21,2026-04-07T04:35:44.843632+00:00,MATICUSDT,short,10000.0,0.3794,0.3794,-0.0,0.0,6,0.1,crisis,normal
22,2026-04-07T04:35:56.679319+00:00,DOTUSDT,short,10000.0,1.239,1.24,-8.071,0.0,5,0.1,crisis,normal
26,2026-04-07T04:36:51.029002+00:00,DOTUSDT,short,10000.0,1.24,1.24,-0.0,0.0,3,0.09999999999999999,crisis,normal
27,2026-04-07T04:37:03.411202+00:00,SOLUSDT,short,5000.0,79.94,79.9,2.5019,0.0,6,0.05,crisis,normal
27,2026-04-07T04:37:03.411217+00:00,MATICUSDT,short,10000.0,0.3794,0.3794,-0.0,0.0,6,0.1,crisis,normal
31,2026-04-07T04:37:56.930679+00:00,MATICUSDT,short,10000.0,0.3794,0.3794,-0.0,0.0,4,0.09999999999999999,crisis,normal
33,2026-04-07T04:38:20.612082+00:00,SOLUSDT,short,5000.0,79.9,79.88,1.2516,0.0,6,0.049999999999999996,crisis,normal
33,2026-04-07T04:38:20.612115+00:00,DOTUSDT,short,10000.0,1.24,1.239,8.0645,0.0,6,0.09999999999999999,crisis,normal
36,2026-04-07T04:39:01.453381+00:00,MATICUSDT,short,10000.0,0.3794,0.3794,-0.0,0.0,5,0.1,crisis,normal
37,2026-04-07T04:39:13.197955+00:00,SOLUSDT,short,5000.0,79.88,79.94,-3.7556,0.0,4,0.049999999999999996,crisis,normal
38,2026-04-07T04:39:25.038788+00:00,DOTUSDT,short,10000.0,1.239,1.241,-16.1421,0.0,5,0.09999999999999999,normal,normal
41,2026-04-07T04:40:05.604225+00:00,MATICUSDT,short,5000.0,0.3794,0.3794,-0.0,0.0,4,0.05,normal,normal
42,2026-04-07T04:40:17.484887+00:00,ETHUSDT,long,15015.1263,2112.9,2112.79,-0.7817,0.0,3,0.15015126349507651,normal,normal
48,2026-04-07T04:41:54.250109+00:00,ETHUSDT,long,7521.3276,2112.79,2112.5,-1.0324,0.0,5,0.07521327645961078,crisis,normal
50,2026-04-07T04:42:22.429951+00:00,SOLUSDT,short,5000.0,79.95,79.97,-1.2508,0.0,3,0.049999999999999996,crisis,normal
51,2026-04-07T04:42:39.923043+00:00,DOTUSDT,short,10000.0,1.24,1.24,-0.0,0.0,4,0.09999999999999999,crisis,normal
54,2026-04-07T04:43:19.430248+00:00,MATICUSDT,short,10000.0,0.3794,0.3794,-0.0,0.0,7,0.09999999999999999,crisis,normal
54,2026-04-07T04:43:19.430266+00:00,SOLUSDT,short,5000.0,79.97,79.95,1.2505,0.0,3,0.049999999999999996,crisis,normal
56,2026-04-07T04:43:44.879643+00:00,DOTUSDT,short,10000.0,1.24,1.241,-8.0645,0.0,5,0.09999999999999999,crisis,normal
62,2026-04-07T04:45:01.806144+00:00,MATICUSDT,short,5000.0,0.3794,0.3794,-0.0,0.0,7,0.05,normal,normal
63,2026-04-07T04:45:13.706145+00:00,DOTUSDT,short,10000.0,1.241,1.241,-0.0,0.0,6,0.09999999999999999,normal,normal
64,2026-04-07T04:45:29.063316+00:00,SOLUSDT,short,5000.0,79.95,79.95,-0.0,0.0,7,0.049999999999999996,normal,normal
67,2026-04-07T04:46:06.115655+00:00,ETHUSDT,long,14969.7849,2113.1,2112.85,-1.7711,0.0,6,0.14969784939866104,normal,normal
70,2026-04-07T04:46:50.790670+00:00,ETHUSDT,long,7535.4191,2112.85,2114.27,5.0644,0.0,3,0.07535419126328217,normal,normal
74,2026-04-07T04:47:45.009555+00:00,ETHUSDT,long,15224.9008,2114.27,2116.19,13.826,0.0,3,0.15224900779068057,normal,normal
82,2026-04-07T04:49:26.615830+00:00,ETHUSDT,long,15334.458,2116.19,2118.88,19.4924,0.0,7,0.1533445797271527,high_vol,normal
87,2026-04-07T04:50:31.465203+00:00,ETHUSDT,long,15611.277,2118.88,2118.36,-3.8312,0.0,4,0.15611277006850519,normal,normal
94,2026-04-07T04:52:10.978095+00:00,ETHUSDT,long,15635.2651,2118.36,2116.55,-13.3593,0.0,7,0.15635265133740028,crisis,normal
97,2026-04-07T04:52:49.612871+00:00,SOLUSDT,short,5000.0,80.04,80.01,1.8741,0.0,4,0.05,crisis,normal
97,2026-04-07T04:52:49.612917+00:00,DOTUSDT,short,10000.0,1.241,1.242,-8.058,0.0,4,0.1,crisis,normal
99,2026-04-07T04:53:17.713311+00:00,MATICUSDT,short,10000.0,0.3794,0.3794,-0.0,0.0,6,0.1,crisis,normal
102,2026-04-07T04:53:56.241835+00:00,SOLUSDT,short,5000.0,80.01,80.02,-0.6249,0.0,5,0.05,crisis,normal
103,2026-04-07T04:54:08.582398+00:00,DOTUSDT,short,10000.0,1.242,1.242,-0.0,0.0,6,0.1,crisis,normal
106,2026-04-07T04:54:51.050807+00:00,MATICUSDT,short,10000.0,0.3794,0.3794,-0.0,0.0,7,0.09999999999999999,normal,normal
106,2026-04-07T04:54:51.050827+00:00,DOTUSDT,short,10000.0,1.242,1.242,-0.0,0.0,3,0.1,normal,normal
108,2026-04-07T04:55:15.041593+00:00,SOLUSDT,short,5000.0,80.02,80.02,-0.0,0.0,5,0.05,normal,normal
112,2026-04-07T04:56:08.034161+00:00,ETHUSDT,long,15304.4068,2115.79,2116.33,3.906,0.0,5,0.15304406819656657,normal,normal
117,2026-04-07T04:57:13.085218+00:00,ETHUSDT,long,15302.0223,2116.33,2115.94,-2.8199,0.0,4,0.1530202231314945,high_vol,normal
120,2026-04-07T04:57:52.870421+00:00,ETHUSDT,long,15321.8222,2115.94,2115.36,-4.1999,0.0,3,0.15321822189566497,high_vol,normal
124,2026-04-07T04:58:45.843818+00:00,ETHUSDT,long,15397.0886,2115.36,2115.72,2.6203,0.0,3,0.15397088603879905,normal,normal
128,2026-04-07T04:59:35.285420+00:00,ETHUSDT,long,15391.0516,2115.72,2115.72,0.0,0.0,3,0.15391051611766776,normal,normal
133,2026-04-07T05:00:40.155327+00:00,ETHUSDT,long,15331.6379,2114.2,2114.2,0.0,0.0,4,0.15331637903154677,normal,normal
138,2026-04-07T05:01:55.464040+00:00,ETHUSDT,long,15286.3287,2114.2,2113.52,-4.9166,0.0,5,0.15286328688838483,normal,normal
144,2026-04-07T05:03:21.624817+00:00,ETHUSDT,long,15277.7368,2113.84,2112.78,-7.6611,0.0,5,0.15277736828139282,high_vol,normal
152,2026-04-07T05:05:09.060162+00:00,ETHUSDT,long,15247.8607,2112.78,2112.43,-2.5259,0.0,7,0.1524786072587784,normal,normal
158,2026-04-07T05:06:25.937986+00:00,ETHUSDT,long,15325.6733,2112.43,2111.88,-3.9902,0.0,5,0.15325673323696865,normal,normal
163,2026-04-07T05:07:33.623445+00:00,ETHUSDT,long,15376.4581,2111.3,2111.3,0.0,0.0,4,0.15376458112407212,high_vol,normal
