date,adjusted_close,close,volume
2016-01-07,0.07,0.07,0
2016-01-10,0.07,0.07,0
2016-01-11,0.07,0.07,0
2016-01-12,0.07,0.07,0
2016-01-13,0.07,0.07,0
2016-01-14,0.07,0.07,0
2016-01-17,0.07,0.07,0
2016-01-18,0.07,0.07,0
2016-01-19,0.07,0.07,0
2016-01-20,0.07,0.07,0
2016-01-21,0.07,0.07,0
2016-01-24,0.07,0.07,0
2016-01-26,0.07,0.07,0
2016-01-27,0.07,0.07,0
2016-01-28,0.07,0.07,0
2016-01-31,0.07,0.07,0
2016-02-01,0.07,0.07,0
2016-02-02,0.07,0.07,0
2016-02-03,0.07,0.07,0
2016-02-04,0.07,0.07,0
2016-02-07,0.07,0.07,0
2016-02-08,0.07,0.07,0
2016-02-09,0.07,0.07,100708
2016-02-10,0.07,0.07,0
2016-02-11,0.07,0.07,0
2016-02-14,0.07,0.07,0
2016-02-15,0.07,0.07,0
2016-02-16,0.07,0.07,0
2016-02-17,0.07,0.07,0
2016-02-18,0.07,0.07,0
2016-02-21,0.07,0.07,0
2016-02-22,0.07,0.07,0
2016-02-23,0.07,0.07,0
2016-02-24,0.07,0.07,0
2016-02-25,0.07,0.07,0
2016-02-28,0.07,0.07,0
2016-02-29,0.07,0.07,0
2016-03-01,0.07,0.07,0
2016-03-02,0.07,0.07,0
2016-03-03,0.07,0.07,0
2016-03-06,0.07,0.07,0
2016-03-07,0.07,0.07,0
2016-03-08,0.07,0.07,0
2016-03-09,0.07,0.07,0
2016-03-10,0.07,0.07,0
2016-03-13,0.07,0.07,32137
2016-03-14,0.07,0.07,0
2016-03-15,0.07,0.07,0
2016-03-16,0.07,0.07,0
2016-03-17,0.07,0.07,0
2016-03-20,0.07,0.07,0
2016-03-21,0.07,0.07,0
2016-03-22,0.07,0.07,0
2016-03-23,0.07,0.07,0
2016-03-28,0.07,0.07,0
2016-03-29,0.07,0.07,0
2016-03-30,0.07,0.07,0
2016-03-31,0.07,0.07,0
2016-04-01,0.07,0.07,296739
2016-04-04,0.07,0.07,0
2016-04-05,0.07,0.07,0
2016-04-06,0.07,0.07,0
2016-04-07,0.07,0.07,0
2016-04-08,0.07,0.07,0
2016-04-11,0.07,0.07,0
2016-04-12,0.07,0.07,0
2016-04-13,0.07,0.07,0
2016-04-14,0.07,0.07,268394
2016-04-15,0.07,0.07,0
2016-04-18,0.07,0.07,0
2016-04-19,0.07,0.07,0
2016-04-20,0.07,0.07,9053
2016-04-21,0.07,0.07,0
2016-04-22,0.07,0.07,19292
2016-04-26,0.07,0.07,0
2016-04-27,0.07,0.07,0
2016-04-28,0.07,0.07,0
2016-04-29,0.07,0.07,0
2016-05-01,0.06,0.06,124273
2016-05-02,0.07,0.07,0
2016-05-03,0.07,0.07,0
2016-05-04,0.07,0.07,0
2016-05-05,0.07,0.07,0
2016-05-06,0.07,0.07,0
2016-05-09,0.07,0.07,0
2016-05-10,0.07,0.07,0
2016-05-11,0.07,0.07,0
2016-05-12,0.07,0.07,0
2016-05-13,0.07,0.07,0
2016-05-16,0.07,0.07,0
2016-05-17,0.07,0.07,60000
2016-05-18,0.07,0.07,0
2016-05-19,0.07,0.07,0
2016-05-20,0.06,0.06,64273
2016-05-23,0.06,0.06,0
2016-05-24,0.06,0.06,0
2016-05-25,0.06,0.06,0
2016-05-26,0.06,0.06,0
2016-05-27,0.06,0.06,0
2016-05-30,0.06,0.06,0
2016-05-31,0.06,0.06,0
2016-06-01,0.07,0.07,17863
2016-06-02,0.07,0.07,0
2016-06-03,0.07,0.07,200000
2016-06-06,0.07,0.07,8690
2016-06-07,0.07,0.07,0
2016-06-08,0.07,0.07,0
