timestamp,open,high,low,close,volume
1719792000,3438.16,3524.94,3423.78,3442.2,224273.2122
1719878400,3442.2,3464.12,3402.0,3421.35,137932.7014
1719964800,3421.35,3432.1,3251.0,3295.48,310408.451
1720051200,3295.49,3313.45,3050.34,3059.7,450402.5692
1720137600,3059.7,3110.0,2810.0,2981.78,886994.3753
1720224000,2981.79,3081.78,2955.06,3066.83,214487.9713
1720310400,3066.83,3073.08,2922.24,2931.0,179892.7612
1720396800,2930.99,3097.06,2822.8,3019.01,500445.0105
1720483200,3019.01,3115.2,3004.0,3066.65,280358.1424
1720569600,3066.65,3151.51,3024.0,3101.05,270827.0844
1720656000,3101.06,3217.24,3054.76,3099.57,289229.32
1720742400,3099.57,3157.89,3045.58,3133.88,185745.1825
1720828800,3133.89,3201.8,3113.37,3175.93,119302.4769
1720915200,3175.93,3268.72,3163.67,3245.08,165430.7716
1721001600,3245.2,3493.63,3233.22,3483.39,314296.8452
1721088000,3483.2,3498.59,3346.55,3444.13,376128.7869
1721174400,3444.14,3517.0,3376.0,3387.05,297812.5162
1721260800,3387.05,3489.98,3367.2,3426.5,241950.3457
1721347200,3426.49,3540.27,3377.0,3503.53,299511.6422
1721433600,3503.53,3539.65,3480.0,3517.5,147510.8165
1721520000,3517.5,3547.0,3411.4,3535.92,218890.9656
1721606400,3535.93,3562.82,3422.34,3439.6,207859.5043
1721692800,3439.61,3541.0,3389.0,3482.51,500568.7811
1721779200,3482.51,3487.82,3300.0,3335.81,275479.0506
1721865600,3335.82,3342.5,3087.53,3175.48,494282.6398
1721952000,3175.47,3286.36,3171.0,3274.61,260237.4641
1722038400,3274.6,3327.59,3191.01,3249.01,231991.9037
1722124800,3249.0,3284.3,3198.11,3270.16,103529.8329
1722211200,3270.16,3396.77,3258.0,3317.66,318471.5055
1722297600,3317.66,3366.4,3233.18,3279.21,197277.1641
1722384000,3279.2,3350.0,3213.75,3232.74,233711.3352
1722470400,3232.74,3242.57,3080.02,3203.4,323285.6105
1722556800,3203.4,3218.6,2967.0,2989.61,385704.0395
1722643200,2989.61,3018.02,2859.0,2903.64,344595.3157
1722729600,2903.65,2935.46,2630.0,2688.92,512064.2612
1722816000,2688.91,2697.44,2111.0,2419.59,2670604.1003
1722902400,2419.76,2556.23,2414.19,2461.33,642283.8038
1722988800,2461.33,2551.32,2309.04,2342.8,630115.4228
1723075200,2342.79,2724.1,2320.4,2682.5,586502.8754
1723161600,2682.5,2707.98,2552.61,2598.78,406739.9611
1723248000,2598.79,2644.7,2576.49,2609.92,171012.3619
1723334400,2609.92,2720.0,2540.0,2555.38,297098.9145
1723420800,2555.38,2750.0,2510.05,2722.3,483414.2506
1723507200,2722.3,2738.4,2611.37,2702.44,325668.6964
1723593600,2702.44,2780.0,2632.2,2661.45,338808.7141
1723680000,2661.45,2675.6,2515.71,2569.89,356546.8059
1723766400,2569.9,2630.97,2550.04,2592.73,270684.1373
1723852800,2592.72,2629.69,2587.5,2614.51,89348.676
1723939200,2614.51,2689.16,2594.53,2612.15,174074.0585
1724025600,2612.15,2648.08,2563.58,2636.36,224867.1336
1724112000,2636.36,2695.0,2555.0,2572.82,281315.8751
1724198400,2572.81,2663.74,2536.22,2630.71,245286.6218
1724284800,2630.71,2644.69,2584.2,2622.88,199063.1196
1724371200,2622.89,2799.13,2621.4,2762.48,401786.4447
1724457600,2762.49,2820.0,2731.26,2768.0,263542.9441
1724544000,2768.01,2792.28,2733.21,2746.13,154527.2352
1724630400,2746.12,2762.0,2666.66,2680.49,211708.1247
1724716800,2680.49,2699.98,2392.96,2457.33,412660.7197
1724803200,2457.33,2554.6,2418.8,2528.33,451266.634
1724889600,2528.33,2595.4,2505.88,2527.61,237002.9632
1724976000,2527.6,2552.17,2431.14,2526.0,338379.1941
1725062400,2525.99,2533.95,2491.92,2513.01,97946.1147
1725148800,2513.0,2516.28,2400.0,2425.72,223127.776
1725235200,2425.71,2564.83,2423.52,2538.01,262632.8385
1725321600,2538.0,2553.6,2411.12,2425.29,224793.1299
1725408000,2425.28,2490.0,2306.65,2450.71,384179.3854
1725494400,2450.71,2466.0,2348.04,2368.81,278549.0969
1725580800,2368.81,2408.83,2150.55,2225.23,643027.111
1725667200,2225.24,2311.27,2220.98,2273.58,219453.2076
1725753600,2273.58,2333.58,2240.94,2297.3,192775.6493
1725840000,2297.3,2381.41,2272.8,2359.5,321698.99
1725926400,2359.51,2400.0,2320.41,2388.52,224382.1729
1726012800,2388.52,2389.32,2277.68,2340.55,282898.3125
1726099200,2340.54,2391.93,2315.39,2361.76,202611.1308
1726185600,2361.75,2464.82,2337.35,2439.19,253888.616
