date,open,high,low,close,volume
2022-05-01,2726.67,2849.9,2716.13,2824.81,442544.8792
2022-05-02,2824.81,2894.22,2778.78,2856.54,521706.8567
2022-05-03,2856.54,2861.47,2755.19,2781.7,371331.1796
2022-05-04,2781.7,2965.85,2771.74,2940.64,548738.0668
2022-05-05,2940.65,2954.65,2683.0,2747.97,734845.3194
2022-05-06,2747.96,2758.18,2632.95,2692.85,711449.3234
2022-05-07,2692.86,2704.36,2584.75,2635.34,371271.4532
2022-05-08,2635.35,2642.0,2484.0,2519.71,757615.3415
2022-05-09,2519.71,2530.78,2225.0,2228.55,1574924.9793
2022-05-10,2229.0,2457.34,2200.0,2342.05,1550626.1387
2022-05-11,2342.04,2451.37,2005.0,2084.99,2022864.83806
2022-05-12,2084.99,2195.0,1800.0,1960.22,2305192.90836
2022-05-13,1960.22,2147.54,1940.23,2009.69,1134042.3387
2022-05-14,2009.69,2070.06,1951.21,2056.48,563788.3078
2022-05-15,2056.47,2167.0,2000.68,2145.29,514398.2587
2022-05-16,2145.29,2145.29,1979.12,2023.66,822070.8531
2022-05-17,2023.66,2122.42,2008.0,2090.72,568249.0448
2022-05-18,2090.72,2110.72,1908.0,1915.11,631577.2341
2022-05-19,1915.11,2040.39,1903.18,2019.55,741476.9794
2022-05-20,2019.55,2064.0,1923.0,1959.08,576981.5371
2022-05-21,1959.08,1990.86,1937.36,1975.07,238869.7632
2022-05-22,1975.06,2056.41,1966.33,2043.19,355735.1927
2022-05-23,2043.19,2088.5,1957.12,1973.32,636085.0224
2022-05-24,1973.33,1993.83,1913.02,1979.41,534096.972
2022-05-25,1979.4,2022.34,1934.61,1942.63,524786.3091
2022-05-26,1942.64,1966.01,1735.0,1792.23,1168740.57514
2022-05-27,1792.24,1822.26,1703.0,1727.27,1296693.28537
2022-05-28,1727.26,1808.98,1722.26,1792.22,558271.1818
2022-05-29,1792.21,1827.4,1759.96,1813.64,432430.611
2022-05-30,1813.64,2013.0,1803.18,1998.78,814922.8359
2022-05-31,1998.78,2016.45,1925.0,1941.9,751103.4226
2022-06-01,1941.9,1972.58,1763.75,1817.95,1037841.2706
2022-06-02,1817.96,1853.05,1782.42,1834.08,788784.4017
2022-06-03,1834.09,1843.91,1737.0,1775.12,741282.5346
2022-06-04,1775.13,1816.0,1748.43,1804.58,388279.4579
2022-06-05,1804.58,1830.17,1773.05,1806.23,371974.5061
2022-06-06,1806.22,1920.0,1804.35,1859.84,804250.3567
2022-06-07,1859.84,1874.98,1725.13,1813.33,1397598.2288
2022-06-08,1813.33,1838.77,1765.28,1791.88,941510.1373
2022-06-09,1791.88,1833.0,1777.33,1788.81,535310.9618
2022-06-10,1788.8,1804.32,1655.93,1662.91,955035.79239
2022-06-11,1662.91,1682.21,1496.74,1532.89,1220325.2542
2022-06-12,1532.89,1547.0,1423.0,1434.84,1563225.37018
2022-06-13,1434.84,1455.0,1165.45,1209.82,3626351.66536
2022-06-14,1209.35,1268.45,1075.8,1208.9,2716493.80131
2022-06-15,1208.9,1250.0,1014.4,1237.52,3114823.13621
2022-06-16,1237.53,1257.85,1051.55,1068.5,1447386.8304
2022-06-17,1068.5,1118.0,1051.11,1086.94,1220677.9491
2022-06-18,1086.93,1097.58,881.56,995.13,2308983.5187
2022-06-19,995.12,1158.62,936.15,1128.53,2018599.4499
2022-06-20,1128.53,1170.0,1053.0,1128.24,1721772.9132
2022-06-21,1128.24,1194.0,1109.23,1125.85,1306095.3757
2022-06-22,1125.86,1127.33,1043.65,1050.19,1306959.8593
2022-06-23,1050.19,1155.0,1045.3,1144.72,1278257.0899
2022-06-24,1144.71,1245.43,1132.0,1225.02,1337137.483
2022-06-25,1225.02,1256.77,1180.0,1242.36,861986.6177
2022-06-26,1242.31,1280.0,1194.6,1197.79,884184.273
2022-06-27,1197.79,1238.93,1172.49,1192.51,868734.2061
2022-06-28,1192.51,1237.99,1136.32,1144.05,1104065.2211
2022-06-29,1144.05,1156.8,1087.42,1100.21,1295517.796
2022-06-30,1100.21,1106.62,998.0,1071.01,1420670.3656
2022-07-01,1071.02,1117.0,1033.44,1059.73,1562255.1439
2022-07-02,1059.73,1078.88,1028.29,1067.01,714812.0804
2022-07-03,1067.01,1088.34,1040.78,1074.26,644746.3337
2022-07-04,1074.26,1160.9,1045.37,1151.0,1150108.9861
2022-07-05,1151.01,1174.9,1076.34,1132.5,1398961.4495
2022-07-06,1132.51,1205.0,1111.44,1186.57,1211768.0757
2022-07-07,1186.57,1254.29,1163.18,1237.49,1001316.079
2022-07-08,1237.49,1276.46,1193.15,1214.04,1189518.3631
2022-07-09,1214.03,1235.4,1204.67,1217.02,576337.1809
2022-07-10,1217.02,1219.95,1153.0,1168.36,1018038.6506
