Date,close
2020-07-30,1.3977229595184326
2020-07-31,1.267933964729309
2020-08-03,0.9734140038490295
2020-08-04,0.8586009740829468
2020-08-05,0.9784060120582581
2020-08-06,0.9334790110588074
2020-08-07,0.9234949946403503
2020-08-10,1.0433000326156616
2020-08-11,1.123170018196106
2020-08-12,1.0632669925689697
2020-08-13,1.0782430171966553
2020-08-14,1.0632669925689697
2020-08-17,1.0682590007781982
2020-08-18,1.0882270336151123
2020-08-19,1.2180149555206299
2020-08-20,1.5474790334701538
2020-08-21,1.9118850231170654
2020-08-24,2.475965976715088
2020-08-25,2.0067310333251953
2020-08-26,2.0566489696502686
2020-08-27,2.2862749099731445
2020-08-28,2.256324052810669
2020-08-31,2.256324052810669
2020-09-01,2.14650297164917
2020-09-02,2.0466649532318115
2020-09-03,2.2064049243927
2020-09-04,2.0566489696502686
2020-09-07,2.016714096069336
2020-09-08,2.1065680980682373
2020-09-09,2.1165521144866943
2020-09-10,2.0566489696502686
2020-09-11,1.9967470169067383
2020-09-14,1.9917550086975098
2020-09-15,2.136518955230713
2020-09-16,2.0866000652313232
2020-09-17,2.1864380836486816
2020-09-18,2.266308069229126
2020-09-21,2.266308069229126
2020-09-22,2.126534938812256
2020-09-23,2.1764540672302246
2020-09-24,2.0067310333251953
2020-09-25,2.026698112487793
2020-09-28,2.0666329860687256
2020-09-29,2.0766170024871826
2020-09-30,2.1065680980682373
2020-10-01,2.5258851051330566
2020-10-02,2.1964221000671387
2020-10-05,2.4160640239715576
2020-10-06,2.485949993133545
2020-10-07,2.5258851051330566
2020-10-08,2.7455270290374756
2020-10-09,2.725559949874878
2020-10-12,2.8653318881988525
2020-10-13,3.294632911682129
2020-10-14,3.604127883911133
2020-10-15,4.013462066650391
2020-10-16,3.713948965072632
2020-10-19,3.8936569690704346
2020-10-20,3.863706111907959
2020-10-21,3.693981885910034
2020-10-22,3.5841610431671143
2020-10-23,3.953558921813965
2020-10-26,3.7738521099090576
2020-10-27,3.4843239784240723
2020-10-28,3.334567070007324
2020-10-29,3.124908924102783
2020-10-30,3.144876003265381
2020-11-02,3.3445510864257812
2020-11-03,3.4843239784240723
2020-11-04,3.494307041168213
2020-11-05,3.4743399620056152
2020-11-06,3.4743399620056152
2020-11-09,3.394469976425171
2020-11-10,3.2546980381011963
2020-11-11,3.454371929168701
2020-11-12,3.624095916748047
